"service_quote_id","service_id","name","index","quote","unit","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
4169,1007,"(SG-ONT1)91 ~ 120","113_days120",1.0000,"per CBM per day","2023-08-15 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4170,1007,"(SG-ONT1)121 ~ 180","113_days180",1.2000,"per CBM per day","2023-08-15 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4171,1007,"(SG-ONT1)181 ~ 270","113_days270",1.5000,"per CBM per day","2023-08-15 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4172,1007,"271 ~ 365","113_days365",2.0000,"per CBM per day","2023-08-15 00:00:00","2024-01-07 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-01-08 01:35:00",336
4173,1007,"365+","113_days_other",3.5000,"per CBM per day","2023-08-15 00:00:00","2024-01-07 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-01-08 01:35:00",336
4497,1007,"(SG-ATL1)365+","112_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4498,1007,"(SG-ATL1)271 ~ 365","112_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4499,1007,"(SG-MDW1)271 ~ 365","100_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4500,1007,"(SG-MDW1)365+","100_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4501,1007,"(SG-MEM1)271 ~ 365","103_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4502,1007,"(SG-MEM1)365+","103_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4503,1007,"(SG-SMF1)31 ~ 60","101_days60",0.4200,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4504,1007,"(SG-SMF1)61 ~ 90","101_days_geq61_leq90",0.7000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4505,1007,"(SG-SMF1)271 ~ 365","101_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4506,1007,"(SG-SMF1)365+","101_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4507,1007,"(SG-ABE1)31 ~ 60","109_days60",0.4200,"per CBM per day","2024-01-08 00:00:00","2025-01-05 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2025-01-03 01:39:47",0
4508,1007,"(SG-ABE1)61 ~ 90","109_days_geq61_leq90",0.7000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4509,1007,"(SG-ABE1)271 ~ 365","109_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4510,1007,"(SG-ABE1)365+","109_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:48",0
4511,1007,"(SG-ONT1)365+","113_days_other",2.5000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4512,1007,"(SG-ONT1)31 ~ 60","113_days60",0.4200,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4513,1007,"(SG-ONT1)61 ~ 90","113_days_geq61_leq90",0.7000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4514,1007,"(SG-ONT1)271 ~ 365","113_days365",1.8000,"per CBM per day","2024-01-08 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4743,1007,"(SG-ONT2)271 ~ 365","114_days365",1.8000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4744,1007,"(SG-ONT2)365+","114_days_other",2.5000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4745,1007,"(SG-ONT2)31 ~ 60","114_days60",0.4200,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
4746,1007,"(SG-ONT2)181 ~ 270","114_days270",1.5000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4747,1007,"(SG-ONT2)121 ~ 180","114_days180",1.2000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4748,1007,"(SG-ONT2)91 ~ 120","114_days120",1.0000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
4749,1007,"(SG-ONT2)0 ~ 30","114_days30",0.0000,"per CBM per day","2024-02-04 00:00:00","2099-12-31 23:59:00",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
