zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,start_date,end_date
,90274,90274,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90275,90275,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90277,90277,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90278,90278,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90280,90280,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90291,90291,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90292,90292,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90293,90293,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90301,90301,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90302,90302,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90303,90303,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90304,90304,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90305,90305,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90311,90311,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90401,90401,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90402,90402,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90403,90403,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90404,90404,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90405,90405,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90501,90501,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90502,90502,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90503,90503,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90504,90504,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90505,90505,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90506,90506,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90601,90601,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90602,90602,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90603,90603,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90604,90604,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90605,90605,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90606,90606,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90620,90620,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90621,90621,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90623,90623,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90630,90630,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90631,90631,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90638,90638,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90640,90640,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90650,90650,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90660,90660,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90670,90670,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90680,90680,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90701,90701,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90703,90703,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90706,90706,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90710,90710,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90712,90712,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90713,90713,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90715,90715,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90716,90716,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90717,90717,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90720,90720,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90723,90723,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90731,90731,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90732,90732,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90740,90740,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90744,90744,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90745,90745,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90746,90746,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90755,90755,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90802,90802,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90803,90803,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90804,90804,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90805,90805,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90806,90806,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90807,90807,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90808,90808,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90810,90810,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90813,90813,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90814,90814,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90815,90815,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90822,90822,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90831,90831,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,90833,90833,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91001,91001,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91006,91006,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91007,91007,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91008,91008,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91010,91010,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91011,91011,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91016,91016,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91020,91020,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91024,91024,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91030,91030,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91040,91040,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91042,91042,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91101,91101,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91103,91103,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91104,91104,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91105,91105,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91106,91106,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91107,91107,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91108,91108,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91201,91201,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91202,91202,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91203,91203,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91204,91204,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91205,91205,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91206,91206,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91207,91207,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91208,91208,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91210,91210,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91214,91214,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91303,91303,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91306,91306,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91316,91316,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91324,91324,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91325,91325,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91326,91326,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91331,91331,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91335,91335,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91340,91340,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91342,91342,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91343,91343,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91344,91344,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91345,91345,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91352,91352,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91356,91356,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91364,91364,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91401,91401,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91402,91402,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91403,91403,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91405,91405,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91406,91406,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91411,91411,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91423,91423,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91436,91436,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91501,91501,130,12,2,2025/1/1 0:00,2099/12/31 23:59
,91502,91502,130,12,2,2025/1/1 0:00,2099/12/31 23:59
