"rate_company_id","company_id","service_id","fee_group","fee_code","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
41402,1,1610,"Large Package Surcharge","LPR-3",37.32,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41403,1,1610,"Large Package Surcharge","LPR-4",38.94,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41404,1,1610,"Delivery Area Surcharge Commercial","RDC",1.71,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41405,1,1610,"Delivery Area Surcharge Residential","RDR",2.54,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41406,1,1610,"Delivery Area Surcharge Commercial - Extended","LDC",2.13,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41407,1,1610,"Delivery Area Surcharge Residential - Extended","LDR",3.33,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41408,1,1610,"Remote Area Surcharge - 48 States","CAC",6.17,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41409,1,1610,"Remote Area Surcharge - 48 States","CAR",6.17,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41410,1,1610,"Residential Surcharge","RES",2.40,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41411,1,1610,"Peak Surcharge - Additional Handling","SAH",4.20,"2024-11-20 00:00:00","2024-11-24 23:59:59",0,0,0,,"2024-10-16 18:42:41",0,"2024-10-16 18:43:09",0
41412,1,1610,"Peak surcharge - Large Package","SLP",45.70,"2024-11-20 00:00:00","2024-11-24 23:59:59",0,0,0,,"2024-10-16 18:45:17",0,"2024-10-16 18:45:34",0
