"rate_company_id","company_id","service_id","fee_group","fee_code","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
436,1,1611,"Fuel Surcharge","FSC",0.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
437,1,1611,"Delivery Confirmation Signature","DCS",6.75,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
438,1,1611,"Delivery Confirmation Signature Commercial","CSG",6.75,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
439,1,1611,"Adult Signature Required","ADS",8.15,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
440,1,1611,"Over Maximum","OML",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
441,1,1611,"Over Maximum","OVR",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
442,1,1611,"Over Maximum","OVX",1250.00,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
443,1,1611,"Address Correction","ADC",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
450,1,1611,"Return To Sender - Web Request","ISW",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
451,1,1611,"Reroute - Web Request","IRW",22.50,"2023-12-27 20:00:00","2099-12-31 23:59:59",0,0,0,,"2023-12-27 20:00:00",0,"2024-01-08 01:39:03",0
23971,1,1611,"Additional Handling Charge","AHC-1",2.14,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:16",0
23972,1,1611,"Additional Handling Charge","AHC-2",2.52,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:16",0
23973,1,1611,"Additional Handling Charge","AHC-3",2.62,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:16",0
23974,1,1611,"Additional Handling Charge","AHC-4",2.73,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:17",0
23975,1,1611,"Large Package Surcharge","LLC-1",26.21,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:17",0
23976,1,1611,"Large Package Surcharge","LLC-2",28.67,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-19 00:27:17",0
