zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
28960,76900,76999,112,4,106,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:55,0
28980,79000,79099,112,4,106,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:56,0
29005,81500,81599,112,4,107,0,0,0,,2023/4/28 8:37,0,2024/12/3 0:23,0
29089,92200,92299,112,4,107,0,0,0,,2023/4/28 8:37,0,2024/12/3 0:29,0
29299,16300,16399,112,5,205,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:38,0
29354,21900,21999,112,5,204,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:39,0
29451,31700,31799,112,5,203,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:39,0
29464,33000,33099,112,5,205,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:48,0
29467,33300,33399,112,5,205,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:48,0
29529,40000,40099,112,5,203,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:51,0
29541,41200,41299,112,5,203,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:54,0
29683,56400,56499,112,5,206,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:54,0
29712,59800,59899,112,5,208,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:55,0
29715,60100,60199,112,5,205,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:55,0
29865,76900,76999,112,5,206,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:55,0
29885,79000,79099,112,5,206,0,0,0,,2023/4/28 8:37,0,2024/12/2 23:56,0
29910,81500,81599,112,5,207,0,0,0,,2023/4/28 8:37,0,2024/12/3 0:23,0
29994,92200,92299,112,5,207,0,0,0,,2023/4/28 8:37,0,2024/12/3 0:29,0
42108,42700,42799,113,4,107,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
42234,56200,56299,113,4,106,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
42266,59900,59999,113,4,105,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:34,336
42317,65400,65499,113,4,106,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
42399,75000,75099,113,4,107,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:32,336
42419,77000,77099,113,4,107,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:32,336
43013,42700,42799,113,5,207,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
43139,56200,56299,113,5,206,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
43171,59900,59999,113,5,205,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:34,336
43222,65400,65499,113,5,206,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:31,336
43304,75000,75099,113,5,207,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:32,336
43324,77000,77099,113,5,207,0,0,0,,2023/9/12 7:00,336,2024/12/3 0:32,336
47806,59900,59999,114,4,106,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:35,336
47860,65700,65799,114,4,107,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:36,336
47928,73800,73899,114,4,105,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:36,336
48027,84300,84399,114,4,105,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:39,336
48028,84400,84499,114,4,105,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:40,336
48041,86300,86399,114,4,103,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:40,336
48044,87000,87099,114,4,104,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:42,336
48087,92200,92299,114,4,103,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:42,336
48096,93200,93299,114,4,103,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:43,336
48139,98300,98399,114,4,106,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:43,336
48711,59900,59999,114,5,206,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:35,336
48765,65700,65799,114,5,207,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:36,336
48833,73800,73899,114,5,205,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:36,336
48932,84300,84399,114,5,205,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:39,336
48933,84400,84499,114,5,205,0,0,0,,2024/2/4 8:00,336,2024/12/3 0:40,336
