rate_company_id,company_id,service_id,fee_group,fee_code,fee,start_date,end_date,created_at,created_by,updated_at,updated_by
,1,3367,Large Package Surcharge,LVS-2,68.75,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-3T4,75.02,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-5T6,85.5,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-7T8,89.58,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-2,79.71,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-3T4,85.98,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-5T6,100.39,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-7T8,103.67,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-2,79.71,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-3T4,85.98,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-5T6,100.39,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-7T8,103.67,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
