zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone
,25900,25999,101,4,108
,26000,26099,101,4,108
,26100,26199,101,4,108
,26200,26299,101,4,108
,26300,26399,101,4,108
,26400,26499,101,4,108
,26500,26599,101,4,108
,26600,26699,101,4,108
,26700,26799,101,4,108
,26800,26899,101,4,108
,27000,27099,101,4,108
,27100,27199,101,4,108
,27200,27299,101,4,108
,27300,27399,101,4,108
,27400,27499,101,4,108
,27500,27599,101,4,108
,27600,27699,101,4,108
,27700,27799,101,4,108
,27800,27899,101,4,108
,27900,27999,101,4,108
,28000,28099,101,4,108
,28100,28199,101,4,108
,28200,28299,101,4,108
,28300,28399,101,4,108
,28400,28499,101,4,108
,28500,28599,101,4,108
,28600,28699,101,4,108
,28700,28799,101,4,108
,28800,28899,101,4,108
,28900,28999,101,4,108
,29000,29099,101,4,108
,29100,29199,101,4,108
,29200,29299,101,4,108
,29300,29399,101,4,108
,29400,29499,101,4,108
,29500,29599,101,4,108
,29600,29699,101,4,108
,29700,29799,101,4,108
,29800,29899,101,4,108
,29900,29999,101,4,108
,30000,30099,101,4,108
,30100,30199,101,4,108
,30200,30299,101,4,108
,30300,30399,101,4,108
,30400,30499,101,4,108
,30500,30599,101,4,108
,30600,30699,101,4,108
,30700,30799,101,4,108
,30800,30899,101,4,108
,30900,30999,101,4,108
,31000,31099,101,4,108
,31100,31199,101,4,108
,31200,31299,101,4,108
,31300,31399,101,4,108
,31400,31499,101,4,108
,31500,31599,101,4,108
,31600,31699,101,4,108
,31700,31799,101,4,108
,31800,31899,101,4,108
,31900,31999,101,4,108
,32000,32099,101,4,108
,32100,32199,101,4,108
,32200,32299,101,4,108
,32300,32399,101,4,108
,32400,32499,101,4,108
,32500,32599,101,4,108
,32600,32699,101,4,108
,32700,32799,101,4,108
,32800,32899,101,4,108
,32900,32999,101,4,108
,33000,33099,101,4,108
,33100,33199,101,4,108
,33200,33299,101,4,108
,33300,33399,101,4,108
,33400,33499,101,4,108
,33500,33599,101,4,108
,33600,33699,101,4,108
,33700,33799,101,4,108
,33800,33899,101,4,108
,33900,33999,101,4,108
,34100,34199,101,4,108
,34200,34299,101,4,108
,34400,34499,101,4,108
,34600,34699,101,4,108
,34700,34799,101,4,108
,34900,34999,101,4,108
,35000,35099,101,4,108
,35100,35199,101,4,108
,35200,35299,101,4,108
,35400,35499,101,4,108
,35500,35599,101,4,108
,35600,35699,101,4,108
,35700,35799,101,4,108
,35800,35899,101,4,108
,35900,35999,101,4,108
,36000,36099,101,4,108
,36100,36199,101,4,108
,36200,36299,101,4,108
,36300,36399,101,4,108
,36400,36499,101,4,108
,36500,36599,101,4,108
,36600,36699,101,4,108
,36700,36799,101,4,108
,36800,36899,101,4,108
,36900,36999,101,4,108
,37000,37099,101,4,108
,37100,37199,101,4,108
,37200,37299,101,4,108
,37300,37399,101,4,108
,37400,37499,101,4,108
,37500,37599,101,4,107
,37600,37699,101,4,108
,37700,37799,101,4,108
,37800,37899,101,4,108
,37900,37999,101,4,108
,38000,38099,101,4,107
,38100,38199,101,4,107
,38200,38299,101,4,107
,38300,38399,101,4,107
,38400,38499,101,4,108
,38500,38599,101,4,108
,38600,38699,101,4,107
,38700,38799,101,4,107
,38800,38899,101,4,108
,38900,38999,101,4,107
,39000,39099,101,4,107
,39100,39199,101,4,107
,39200,39299,101,4,107
,39300,39399,101,4,108
,39400,39499,101,4,108
,39500,39599,101,4,108
,39600,39699,101,4,107
,39700,39799,101,4,108
,39800,39899,101,4,108
