zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,start_date,end_date
,08100,08199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08200,08299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08300,08399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08400,08499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08500,08599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08600,08699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08700,08799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08800,08899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,08900,08999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09000,09099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09100,09199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09200,09299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09300,09399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09400,09499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09500,09599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09600,09699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09700,09799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09800,09899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,09900,09999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10000,10099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10100,10199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10200,10299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10300,10399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10400,10499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10500,10599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10600,10699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10700,10799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10800,10899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,10900,10999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11000,11099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11100,11199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11200,11299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11300,11399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11400,11499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11500,11599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11600,11699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11700,11799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11800,11899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,11900,11999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12000,12099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12100,12199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12200,12299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12300,12399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12400,12499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12500,12599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12600,12699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12700,12799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12800,12899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,12900,12999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13000,13099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13100,13199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13200,13299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13300,13399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13400,13499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13500,13599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13600,13699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13700,13799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13800,13899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,13900,13999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,14000,14099,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14100,14199,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14200,14299,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14300,14399,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14400,14499,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14500,14599,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14600,14699,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14700,14799,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14800,14899,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,14900,14999,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15000,15099,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15100,15199,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15200,15299,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15300,15399,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15400,15499,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15500,15599,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15600,15699,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15700,15799,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15800,15899,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,15900,15999,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16000,16099,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16100,16199,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16200,16299,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16300,16399,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16400,16499,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16500,16599,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16600,16699,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16700,16799,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16800,16899,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,16900,16999,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,17000,17099,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,17100,17199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17200,17299,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,17300,17399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17400,17499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17500,17599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17600,17699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17700,17799,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,17800,17899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,17900,17999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18000,18099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18100,18199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18200,18299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18300,18399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18400,18499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18500,18599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18600,18699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18700,18799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18800,18899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,18900,18999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19000,19099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19100,19199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19200,19299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19300,19399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19400,19499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19500,19599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19600,19699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19700,19799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19800,19899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,19900,19999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20000,20099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20100,20199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20200,20299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20300,20399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20400,20499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20500,20599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20600,20699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20700,20799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20800,20899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,20900,20999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21000,21099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21100,21199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21200,21299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21400,21499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21500,21599,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,21600,21699,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21700,21799,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,21800,21899,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,21900,21999,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22000,22099,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22100,22199,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22200,22299,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22300,22399,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22400,22499,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22500,22599,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22600,22699,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
,22700,22799,19072,2,5,2025/12/23 22:00,2099/12/31 23:59
,22800,22899,19072,2,4,2025/12/23 22:00,2099/12/31 23:59
