zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,06500,06599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,06600,06699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,06700,06799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,06800,06899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,06900,06999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07000,07099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07100,07199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07200,07299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07300,07399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07400,07499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07500,07599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07600,07699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07700,07799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07800,07899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,07900,07999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08000,08099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08100,08199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08200,08299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08300,08399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08400,08499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08500,08599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08600,08699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08700,08799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08800,08899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,08900,08999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10000,10099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10100,10199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10200,10299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10300,10399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10400,10499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10500,10599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10600,10699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10700,10799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10800,10899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,10900,10999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11000,11099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11100,11199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11200,11299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11300,11399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11400,11499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11500,11599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11600,11699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11700,11799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11800,11899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,11900,11999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12000,12099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12100,12199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12200,12299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12300,12399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12400,12499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12500,12599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12600,12699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12700,12799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12800,12899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,12900,12999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,13000,13099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
